Genus	2nd_element	3rd_element	4th_element	PAML_tag	Old_tag
Endeis	mollis	PYC104		End_mol_PYC104	Endeis_mollis_PYC104
Endeis	sp.	IU.2013.18638		End_sp_IU201318638	Endeis_sp._IU.2013.18638
Endeis	sp.	IU.2016.1416		End_sp_IU20161416	Endeis_sp._IU.2016.1416
Endeis	sp.	IU.2016.863		End_sp_IU2016863	Endeis_sp._IU.2016.863
Eremobates	sp.		Solifugae_	Ere_sp_Solifugae	Eremobates_sp.__Solifugae_
Eurycyde	clitellaria	IU.2016.824		Eur_cli_IU2016824	Eurycyde_clitellaria_IU.2016.824
Eurycyde	hispida	PYC024		Eur_his_PYC024	Eurycyde_hispida_PYC024
Eurycyde	raphiaster	IU.2016.818		Eur_rap_IU2016818	Eurycyde_raphiaster_IU.2016.818
Eurycyde	sp.	IU.2012.1248		Eur_sp_IU20121248	Eurycyde_sp._IU.2012.1248
Eurycyde	sp.	IU.2016.819		Eur_sp_IU2016819	Eurycyde_sp._IU.2016.819
Hedgpethia	sp.	IU.2016.6868		Hed_sp_IU20166868	Hedgpethia_sp._IU.2016.6868
Heptathela	sp.		Mesothelae_	Hep_sp_Mesothelae	Heptathela_sp.__Mesothelae_
Limulus	polyphemus		Xiphosura_	Lim_pol_Xiphosura	Limulus_polyphemus__Xiphosura_
Liphistius	sp.		Mesothelae_	Lip_sp_Mesothelae	Liphistius_sp.__Mesothelae_
Lithobius	forficatus		Chilopoda_	Lit_for_Chilopoda	Lithobius_forficatus__Chilopoda_
Mastigoproctus	giganteus		Thelyphonida_	Mas_gig_Thelyphonida	Mastigoproctus_giganteus__Thelyphonida_
Narceus	sp.		Diplopoda_	Nar_sp_Diplopoda	Narceus_sp.__Diplopoda_
Nymphon	aemulum	IU.2016.845.1186		Nym_aem_IU20168451186	Nymphon_aemulum_IU.2016.845.1186_concat
Nymphon	australe	IU.2007.129		Nym_aus_IU2007129	Nymphon_australe_IU.2007.129
Nymphon	australe	PYC048		Nym_aus_PYC048	Nymphon_australe_PYC048
Nymphon	biarticulatum	PYC086		Nym_bia_PYC086	Nymphon_biarticulatum_PYC086
Nymphon	cf.	apicatum	IU.2016.1460	Nym_cfapi_IU20161460	Nymphon_cf._apicatum_IU.2016.1460
Nymphon	cf.	australe	PYC119	Nym_cfaus_PYC119	Nymphon_cf._australe_PYC119
Nymphon	cf.	conirostrum	PYC049	Nym_cfcon_PYC049	Nymphon_cf._conirostrum_PYC049
Nymphon	cf.	fortunatum	IU.2021.7458	Nym_cffor_IU20217458	Nymphon_cf._fortunatum_IU.2021.7458
Nymphon	charcoti	IU.2007.327		Nym_cha_IU2007327	Nymphon_charcoti_IU.2007.327
Nymphon	dorlis	IU.2016.879		Nym_dor_IU2016879	Nymphon_dorlis_IU.2016.879
Nymphon	elegans	PYC050		Nym_ele_PYC050	Nymphon_elegans_PYC050
Nymphon	giraffa	IU.2016.1429		Nym_gir_IU20161429	Nymphon_giraffa_IU.2016.1429
Nymphon	grossipes	PYC051		Nym_gro_PYC051	Nymphon_grossipes_PYC051
Nymphon	macronyx	PYC052		Nym_mac_PYC052	Nymphon_macronyx_PYC052
Nymphon	macrum	PYC053		Nym_mac_PYC053	Nymphon_macrum_PYC053
Nymphon	maculatum	IU.2011.660		Nym_mac_IU2011660	Nymphon_maculatum_IU.2011.660
Nymphon	martinicum	IU.2016.889		Nym_mar_IU2016889	Nymphon_martinicum_IU.2016.889
Nymphon	molleri	PYC054		Nym_mol_PYC054	Nymphon_molleri_PYC054
Nymphon	paucituberculatum	PYC120		Nym_pau_PYC120	Nymphon_paucituberculatum_PYC120
Nymphon	sp.	IU.2012.976		Nym_sp_IU2012976	Nymphon_sp._IU.2012.976
Nymphon	sp.	IU.2016.1472		Nym_sp_IU20161472	Nymphon_sp._IU.2016.1472
Nymphon	surinamensis	IU.2013.18615		Nym_sur_IU201318615	Nymphon_surinamensis_IU.2013.18615
Nymphon	tenellum	PYC055		Nym_ten_PYC055	Nymphon_tenellum_PYC055
Nymphon	villosum	PYC106		Nym_vil_PYC106	Nymphon_villosum_PYC106
Nymphonella	tapetis	PYC079		Nym_tap_PYC079	Nymphonella_tapetis_PYC079
Nymphopsis	curtiscapus	IU.2011.760		Nym_cur_IU2011760	Nymphopsis_curtiscapus_IU.2011.760
Nymphopsis	duodorsospinosa	IU.2016.812		Nym_duo_IU2016812	Nymphopsis_duodorsospinosa_IU.2016.812
Nymphopsis	muscosa	IU.2013.18640		Nym_mus_IU201318640	Nymphopsis_muscosa_IU.2013.18640
Opilio	parietinus		Opiliones_	Opi_par_Opiliones	Opilio_parietinus__Opiliones_
Pallenella	ambigua	PYC039		Pal_amb_PYC039	Pallenella_ambigua_PYC039
Pallenella	flava	PYC040		Pal_fla_PYC040	Pallenella_flava_PYC040
Pallenella	pachycheira	PYC041		Pal_pac_PYC041	Pallenella_pachycheira_PYC041
Pallenella	reflexa	PYC042		Pal_ref_PYC042	Pallenella_reflexa_PYC042
